Stellar Spectroscopy - HD 200389	
	
Date of Observation:	7/21/2010
Star Observed:	HD 200389
Spectral Class	A2
	
Wavelength (A)	Intensity (Counts)
6200.4	8224.608398
6201.2	8157.171387
6202	8325.442383
6202.8	8209.888672
6203.6	8202.449219
6204.4	8069.841309
6205.2	8157.530273
6206	8136.820801
6206.8	8222.426758
6207.6	8349.624023
6208.4	8231.277344
6209.2	8264.258789
6210	8325.679688
6210.8	8291.15332
6211.6	8352.557617
6212.4	8446.125
6213.2	8385.099609
6214	8318.105469
6214.8	8479.040039
6215.6	8231.270508
6216.4	8248.719727
6217.2	8292.017578
6218	8415.598633
6218.8	8494.170898
6219.6	8366.001953
6220.4	8403.204102
6221.2	8476.943359
6222	8412.514648
6222.8	8396.557617
6223.6	8523.080078
6224.4	8459.28418
6225.2	8304.699219
6226	8379.147461
6226.8	8285.898438
6227.6	8273.887695
6228.4	8322.274414
6229.2	8335.301758
6230	8320.556641
6230.8	8280.286133
6231.6	8367.756836
6232.4	8275.918945
6233.2	8300.395508
6234	8207.613281
6234.8	8536.78125
6235.6	8380.222656
6236.4	8299.816406
6237.2	8473.015625
6238	8193.22168
6238.8	8307.234375
6239.6	8293.90625
6240.4	8285.276367
6241.2	8303.446289
6242	8445.895508
6242.8	8456.489258
6243.6	8293.982422
6244.4	8266.168945
6245.2	8492.483398
6246	8529.910156
6246.8	8289.448242
6247.6	8154.672363
6248.4	8079.540039
6249.2	8392.516602
6250	8294.837891
6250.8	8465.737305
6251.6	8383.017578
6252.4	8581.638672
6253.2	8590.208008
6254	8522.725586
6254.8	8281.331055
6255.6	8351.356445
6256.4	8542.040039
6257.2	8561.84668
6258	8449.219727
6258.8	8335.615234
6259.6	8360.086914
6260.4	8355.375
6261.2	8273.668945
6262	8277.898438
6262.8	8433.866211
6263.6	8369.448242
6264.4	8363.40332
6265.2	8349.075195
6266	8401.264648
6266.8	8452.898438
6267.6	8345.951172
6268.4	8345.567383
6269.2	8262.458008
6270	8277.668945
6270.8	8241.774414
6271.6	8454.772461
6272.4	8436.268555
6273.2	8379.956055
6274	8352.289062
6274.8	8348.77832
6275.6	8366.15625
6276.4	8308.62793
6277.2	7839.211426
6278	7462.527832
6278.8	7767.702637
6279.6	7928.025391
6280.4	8018.380859
6281.2	8176.939941
6282	7974.214844
6282.8	7994.917969
6283.6	7857.17041
6284.4	7905.009766
6285.2	7885.530762
6286	8168.861328
6286.8	8253.067383
6287.6	8309.699219
6288.4	8235.233398
6289.2	8110.508789
6290	8042.331543
6290.8	8160.330078
6291.6	8185.780762
6292.4	8090.504395
6293.2	8172.869629
6294	8310.09082
6294.8	8220.297852
6295.6	8031.588379
6296.4	8195.893555
6297.2	8313.566406
6298	8234.634766
6298.8	8210.373047
6299.6	8288.422852
6300.4	8302.577148
6301.2	8281.354492
6302	8114.424316
6302.8	8084.962891
6303.6	8317.597656
6304.4	8218.40625
6305.2	8428.359375
6306	8179.974609
6306.8	8097.106445
6307.6	8141.074707
6308.4	8225.224609
6309.2	8220.045898
6310	8132.981445
6310.8	8154.866699
6311.6	8357.966797
6312.4	8344.691406
6313.2	8461.513672
