Stellar Spectroscopy - HD 199874	
	
Date of Observation:	7/22/2010
Star Observed:	HD 199874
Spectral Class:	F8
	
Wavelength (A)	Intensity (Counts)
6200.4	8782.82
6201.2	8871.55
6202	9026.04
6202.8	9214.81
6203.6	9185.06
6204.4	8992.9
6205.2	8859.06
6206	9122.81
6206.8	9137.03
6207.6	9009.27
6208.4	9038.36
6209.2	9080.44
6210	9042.34
6210.8	9177.38
6211.6	9213.45
6212.4	9342.16
6213.2	9192.65
6214	8849.37
6214.8	9099.73
6215.6	8970.74
6216.4	8931.87
6217.2	9023.44
6218	9299.52
6218.8	9208.7
6219.6	9022.42
6220.4	8785.14
6221.2	9037.85
6222	9137.28
6222.8	9344.6
6223.6	9253.69
6224.4	9337.73
6225.2	9192.5
6226	9198.84
6226.8	9126.24
6227.6	9222.81
6228.4	9281.51
6229.2	9058.99
6230	8960.5
6230.8	8417.83
6231.6	8578.39
6232.4	8928.5
6233.2	8895.43
6234	9330.29
6234.8	9307.92
6235.6	9348.24
6236.4	9171.27
6237.2	9079.64
6238	8985.87
6238.8	8805.35
6239.6	9031.2
6240.4	8897.35
6241.2	9149.21
6242	9488.33
6242.8	9495.77
6243.6	9036.97
6244.4	8921.33
6245.2	9216.73
6246	8880.58
6246.8	8821.45
6247.6	8871.91
6248.4	8987.58
6249.2	9319.92
6250	9296.9
6250.8	9371.2
6251.6	9163.83
6252.4	8961.02
6253.2	9007.29
6254	8915.56
6254.8	8732.33
6255.6	9133.82
6256.4	8788.73
6257.2	9212.66
6258	9459.72
6258.8	9152.41
6259.6	9241.79
6260.4	9192.69
6261.2	9277.76
6262	9296.18
6262.8	9226.15
6263.6	9556
6264.4	9395.26
6265.2	9052.2
6266	9120.62
6266.8	9454.04
6267.6	9739.44
6268.4	9523.38
6269.2	9374.4
6270	9278.88
6270.8	9051.44
6271.6	9365.89
6272.4	9446.8
6273.2	9526.85
6274	9503.46
6274.8	9608.29
6275.6	9505.47
6276.4	9494.58
6277.2	9297.06
6278	8785.17
6278.8	8617.41
6279.6	8851.31
6280.4	8474.76
6281.2	8767.47
6282	8848.84
6282.8	9169.58
6283.6	9165.12
6284.4	9127.57
6285.2	9282.35
6286	9230.49
6286.8	9481.04
6287.6	9589.48
6288.4	9442.42
6289.2	9166.02
6290	9092.36
6290.8	8922.82
6291.6	8908.29
6292.4	9137.15
6293.2	9201.62
6294	9467.16
6294.8	9669.61
6295.6	9414.79
6296.4	9280.34
6297.2	9238.59
6298	9099.62
6298.8	9090.8
6299.6	9071.96
6300.4	8872.66
6301.2	8910.13
6302	8802.88
6302.8	8792.17
6303.6	9001.56
6304.4	9367.44
6305.2	9510.63
6306	9344.81
6306.8	9268.08
6307.6	9323.18
6308.4	9353.1
6309.2	9455.93
6310	9449.88
6310.8	9180.27
6311.6	9284.91
6312.4	9461.83
6313.2	9470.83
6314	9513.5
6314.8	9141.6
6315.6	8857.48
6316.4	9117.38
6317.2	9417.74
6318	8908.8
6318.8	8823.07
6319.6	9096.27
6320.4	9223.31
6321.2	9386.54
6322	9178.16
6322.8	9048.69
6323.6	9525.8
6324.4	9492.97
6325.2	9350.39
6326	9501.3
6326.8	9468.43
6327.6	9383.04
6328.4	9439.46
6329.2	9634.41
6330	9512.96
6330.8	9310.29
6331.6	9303.25
6332.4	9592.59
6333.2	9648.11
6334	9598.97
6334.8	9503.2
6335.6	9174.89
6336.4	9230.45
6337.2	9036.44
6338	9241.25
6338.8	9209.48
6339.6	9245.19
6340.4	9499.8
6341.2	9315.46
6342	9276.67
6342.8	9295.37
6343.6	9142.34
6344.4	9213.68
6345.2	9386.61
6346	9466.1
6346.8	9308.66
6347.6	9125.93
6348.4	9395.06
6349.2	9673.87
6350	9601.14
6350.8	9966.76
6351.6	9427.61
6352.4	9420.6
6353.2	9454.27
6354	9547.15
6354.8	9350.81
6355.6	9191.95
6356.4	9428.47
6357.2	9563.94
6358	9551.79
6358.8	9263.81
6359.6	9451.11
6360.4	9504.85
6361.2	9548.04
6362	9323.09
6362.8	9160.45
6363.6	9266.55
6364.4	9470.41
6365.2	9460.77
6366	9734.53
6366.8	9454.69
6367.6	9519.3
6368.4	9707.31
6369.2	9550.3
6370	9572.39
6370.8	9362.99
6371.6	9286.72
6372.4	9645.97
6373.2	9657.12
6374	9601.81
6374.8	9590.84
6375.6	9747.88
6376.4	9638.77
6377.2	9748.95
6378	9671.87
6378.8	9564.25
6379.6	9541.39
6380.4	9468.76
6381.2	9411.9
6382	9669.76
6382.8	9736.81
6383.6	9695.83
6384.4	9525.47
6385.2	9548.58
6386	9658.93
6386.8	9633.31
6387.6	9847.23
6388.4	9606.86
6389.2	9731.33
6390	9480.99
6390.8	9694.79
6391.6	9752.62
6392.4	9679.35
6393.2	9206.2
6394	9014.48
6394.8	9437.07
6395.6	9504.32
6396.4	9413.1
6397.2	9563.16
6398	9697.19
6398.8	9589.71
6399.6	9077.25
6400.4	8788.2
6401.2	9269.88
6402	9544.81
6402.8	9660.91
6403.6	9645.2
6404.4	9449.39
6405.2	9603.27
6406	9448.75
6406.8	9517.6
6407.6	9169.79
6408.4	9224.06
6409.2	9473.53
6410	9565.83
6410.8	9645.84
6411.6	9037.52
6412.4	9406.83
6413.2	9642.58
6414	9703.08
6414.8	9588.48
6415.6	9509.85
6416.4	9740.81
6417.2	9552.48
6418	9671.99
6418.8	9798.34
6419.6	9428.05
6420.4	9360.99
6421.2	9286.46
6422	9382.54
6422.8	9791.84
6423.6	10182.67
6424.4	9770.66
6425.2	9844.19
6426	9756.4
6426.8	9484.08
6427.6	9851.13
6428.4	9734.78
6429.2	9723.29
6430	9678.81
6430.8	9247.34
6431.6	9335.72
6432.4	9416.53
6433.2	9468.01
6434	9703.97
6434.8	9709.21
6435.6	9642.8
6436.4	9639.69
6437.2	9696.49
6438	9709.62
6438.8	9159.22
6439.6	9064.79
6440.4	9819.1
6441.2	9760.69
6442	9634.31
6442.8	9668.13
6443.6	9787
6444.4	9576.88
6445.2	9535.14
6446	9438.89
6446.8	9628.07
6447.6	9768.34
6448.4	9555.93
6449.2	9297.81
6450	9135.55
6450.8	9458.49
6451.6	9693.83
6452.4	9689.94
6453.2	9930.57
6454	9998.31
6454.8	10019.05
6455.6	9373.26
6456.4	9059.38
6457.2	9378.42
6458	9997.77
6458.8	9702.74
6459.6	9825.15
6460.4	9787.92
6461.2	9832.78
6462	9195.98
6462.8	8741.14
6463.6	9303.54
6464.4	9574.97
6465.2	9776.17
6466	9654.5
6466.8	9733.76
6467.6	9824.55
6468.4	9565.2
6469.2	9471.6
6470	9675.15
6470.8	9613.17
6471.6	9344.58
6472.4	9559.91
6473.2	9835.06
6474	9737.65
6474.8	9855.64
6475.6	9401.96
6476.4	9483.2
6477.2	9843.98
6478	9733.17
6478.8	9870.47
6479.6	9660.05
6480.4	9829.1
6481.2	9669.57
6482	9525.09
6482.8	9716.9
6483.6	9798.24
6484.4	9627.03
6485.2	9762.25
6486	9968.79
6486.8	10044.91
6487.6	9892.52
6488.4	9910.56
6489.2	9908.41
6490	9967.06
6490.8	9746.48
6491.6	9702.88
6492.4	9947.72
6493.2	9529.35
6494	9086.97
6494.8	9081.69
6495.6	9224.06
6496.4	9017.91
6497.2	9239.32
6498	9659.07
6498.8	9767.44
6499.6	9619.86
6500.4	9751.34
6501.2	10091.92
6502	10237.23
6502.8	10097.83
6503.6	10014.61
6504.4	9975.68
6505.2	9959.18
6506	10065.46
6506.8	9902.76
6507.6	9940.56
6508.4	10017.53
6509.2	9925.81
6510	9893.85
6510.8	9826.45
6511.6	9949.5
6512.4	9871.34
6513.2	9857.88
6514	10075.36
6514.8	9884.02
6515.6	9785.06
6516.4	9758.32
6517.2	9615.24
6518	9562.09
6518.8	9839.43
6519.6	9752.56
6520.4	9773.02
6521.2	10156.86
6522	10040.75
6522.8	9793.03
6523.6	9863.58
6524.4	9919.63
6525.2	9802.77
6526	9834.8
6526.8	9551.68
6527.6	9650.29
6528.4	9871.58
6529.2	10161.87
6530	10076.22
6530.8	10011.87
6531.6	10104.97
6532.4	10040.12
6533.2	9815.39
6534	9966.5
6534.8	10059.39
6535.6	10145.81
6536.4	10027.05
6537.2	9969.95
6538	10124.28
6538.8	10010.18
6539.6	10119.23
6540.4	10044.12
6541.2	9954.14
6542	9822.68
6542.8	9871.31
6543.6	9859.19
6544.4	9670.58
6545.2	9711.5
6546	9436.05
6546.8	9974.57
6547.6	9799.36
6548.4	9727.44
6549.2	9704.33
6550	9810.32
6550.8	9713.94
6551.6	9590.88
6552.4	9689.45
6553.2	9482.89
6554	9386.4
6554.8	9131.41
6555.6	8989.77
6556.4	9189.75
6557.2	8854.17
6558	8718.39
6558.8	8465.57
6559.6	8137.49
6560.4	7764.92
6561.2	6985.76
6562	5047.78
6562.8	4055.09
6563.6	5645.27
6564.4	7343.67
6565.2	7873.95
6566	8247.73
6566.8	8636.37
6567.6	8871.59
6568.4	8928.71
6569.2	8937.57
6570	9268.41
6570.8	9392.34
6571.6	9765.37
6572.4	9710.79
6573.2	9981.87
6574	9895.28
6574.8	9994.41
6575.6	10019.26
6576.4	10221.12
6577.2	10246.04
6578	10341.02
6578.8	10187.13
6579.6	10123.71
6580.4	10063.11
6581.2	10225.93
6582	10261.64
6582.8	10323.28
6583.6	10258.71
6584.4	10330.66
6585.2	10390.91
6586	10129.59
6586.8	10150.85
6587.6	10110.58
6588.4	10269.93
6589.2	10382.35
6590	10252.04
6590.8	10243.32
6591.6	10194.54
6592.4	9597.82
6593.2	9569.21
6594	9759.65
6594.8	10140.74
6595.6	10420.33
6596.4	10245.56
6597.2	10186.44
6598	9953.25
6598.8	10183.03
6599.6	10196.34
6600.4	10105.97
6601.2	10158.82
6602	10028.12
6602.8	10247.14
6603.6	10101.41
6604.4	9901.41
6605.2	10077.8
6606	10271.23
6606.8	10297.24
6607.6	10220.13
6608.4	10008.92
6609.2	10163.85
6610	10400.03
6610.8	10470.54
6611.6	10286.76
6612.4	10392.54
6613.2	10407.37
6614	10768.87
6614.8	10617.77
6615.6	10573.75
6616.4	10736.13
6617.2	10604.46
6618	10613.68
6618.8	10660.55
6619.6	10515.35
6620.4	10571.36
6621.2	10318.49
6622	10444.63
6622.8	10383.1
6623.6	10529.99
6624.4	10269.01
6625.2	10301.34
6626	10414.05
6626.8	10324.81
6627.6	10284.8
6628.4	10313.74
6629.2	10326.5
6630	10444.33
6630.8	10317.85
6631.6	10321.59
6632.4	10412.86
6633.2	10012.36
6634	10343.98
6634.8	10548.65
6635.6	10363.87
6636.4	10443.96
6637.2	10553.05
6638	10380.75
6638.8	10537.91
6639.6	10489.6
6640.4	10519.2
6641.2	10630.3
6642	10730.75
6642.8	10365.85
6643.6	10277.66
6644.4	10606.45
6645.2	10549.77
6646	10504.48
6646.8	10536.06
6647.6	10589.69
6648.4	10577.71
6649.2	10769.96
6650	10718.8
6650.8	10719.58
6651.6	10837.88
6652.4	10763.37
6653.2	11014.76
6654	10844.93
6654.8	10742.1
6655.6	10592.42
6656.4	10683.5
6657.2	10678.04
6658	10777
6658.8	10734.29
6659.6	10867.8
6660.4	10611.62
6661.2	10664.83
6662	10544.21
6662.8	10234.83
6663.6	10337.08
6664.4	10723.39
6665.2	10621.19
6666	10694.95
6666.8	10831.98
6667.6	10958.58
6668.4	10919.68
6669.2	10947.3
6670	10769.24
6670.8	10891.65
6671.6	11195.64
6672.4	11015.1
6673.2	10675.95
6674	10344.28
6674.8	10469.5
6675.6	10409.81
6676.4	10553.3
6677.2	10033.18
6678	9856.27
6678.8	10586.31
6679.6	10546.07
6680.4	10702.18
6681.2	10854.25
6682	10715.91
6682.8	10479.92
6683.6	10653.11
6684.4	10533.56
6685.2	10645.76
6686	10684.56
6686.8	10792.92
6687.6	10676.95
6688.4	10812.13
6689.2	10987.29
6690	10893.27
6690.8	11094.89
6691.6	10984.22
6692.4	10744.11
6693.2	10757.94
6694	10810.77
6694.8	10928.06
6695.6	10629.18
6696.4	10580.46
6697.2	10507.07
6698	10463.21
6698.8	10387.76
6699.6	10736.59
6700.4	10591.32
6701.2	10501.22
6702	10544.35
6702.8	10446.52
6703.6	10418.48
6704.4	10303.78
6705.2	10410.17
6706	10528.54
6706.8	10467.04
6707.6	10360.15
6708.4	10447.83
6709.2	10608.83
6710	10646.83
6710.8	10618.84
6711.6	10721.69
6712.4	10546
6713.2	10662.25
6714	10815.33
6714.8	10604.93
6715.6	10513.72
6716.4	10455.07
6717.2	10051.45
6718	10629.23
6718.8	10758.54
6719.6	10720.52
6720.4	10806.75
6721.2	10545.49
6722	10507.34
6722.8	10642.43
6723.6	10705.45
6724.4	10718.32
6725.2	10677.84
6726	10617.07
6726.8	10573.3
6727.6	10617.01
6728.4	10442.67
6729.2	10614.42
6730	10628.36
6730.8	10679.27
6731.6	10583.18
6732.4	10803.48
6733.2	10530.26
6734	10573.64
6734.8	10415.56
6735.6	10439.58
6736.4	10503.64
6737.2	10555.22
6738	10468.17
6738.8	10559.05
6739.6	10714.55
6740.4	10588.51
6741.2	10413.81
6742	10498.47
6742.8	10464.59
6743.6	10672.95
6744.4	10746.85
6745.2	10674.7
6746	10828.83
6746.8	10696.69
6747.6	10667.67
6748.4	10699.38
6749.2	10718.78
6750	10561.88
6750.8	10780.85
6751.6	11019.85
6752.4	10921.97
6753.2	10970.09
6754	10923.94
6754.8	11145.84
6755.6	10946.67
6756.4	10833.77
6757.2	10785.51
6758	10996.4
6758.8	10947.62
6759.6	10943.17
6760.4	10798.64
6761.2	11015.08
6762	10780.73
6762.8	10856.9
6763.6	10739
6764.4	10665.13
6765.2	10581.6
6766	10558.87
6766.8	10354.62
6767.6	10451.75
6768.4	10404.66
6769.2	10516.98
6770	10513.37
6770.8	10415.35
6771.6	10564.27
6772.4	10332.24
6773.2	10506.52
6774	10519.46
6774.8	10372.56
6775.6	10681.35
6776.4	10705.37
6777.2	10714.24
6778	10894.01
6778.8	10949.61
6779.6	10849.26
6780.4	10813.1
6781.2	10695.65
6782	10587.25
6782.8	10583.25
6783.6	10443.58
6784.4	10511.55
6785.2	10631.97
6786	10559.07
6786.8	10602.24
6787.6	10341.48
6788.4	10450.93
6789.2	10466.89
6790	10525.47
6790.8	10499.68
6791.6	10692.75
6792.4	10760.05
6793.2	10676.46
6794	10703.47
6794.8	10783.5
6795.6	10753.03
6796.4	10772.48
6797.2	10773.69
6798	10735.66
6798.8	10820.04
6799.6	10650.99
6800.4	10696.1
6801.2	10642.34
6802	10719.21
6802.8	10707.84
6803.6	10574.02
6804.4	10746.95
6805.2	10774.63
6806	10775.2
6806.8	10836.99
6807.6	10808.74
6808.4	10706.92
6809.2	10532.66
6810	10515.54
6810.8	10529.27
6811.6	10761.21
6812.4	10554.22
6813.2	10469.82
6814	10414.67
6814.8	10351.51
6815.6	10315.68
6816.4	10456.28
6817.2	10504.31
6818	10559.64
6818.8	10528.83
6819.6	10414.59
6820.4	10439.38
6821.2	10665.84
6822	10660.75
6822.8	10780.15
6823.6	10715.31
6824.4	10758.48
6825.2	10907.07
6826	10692.35
6826.8	10688.45
6827.6	10286.89
6828.4	10354.49
6829.2	10450.22
6830	10438.44
6830.8	10539.56
6831.6	10323.15
6832.4	10141.9
6833.2	10316.13
6834	10208.57
6834.8	10291.82
6835.6	10410.45
6836.4	10421.83
6837.2	10606.87
6838	10427.13
6838.8	10598.76
6839.6	10706
6840.4	10444.82
6841.2	10308.85
6842	10279.41
6842.8	10110.02
6843.6	10441.6
6844.4	10347.55
6845.2	10264.49
6846	10563.46
6846.8	10299.65
6847.6	10004.21
6848.4	10105.42
6849.2	10061.7
6850	9993.77
6850.8	10090.27
6851.6	10048.41
6852.4	10017.3
6853.2	10117.24
6854	9806.93
6854.8	9788.54
6855.6	9976.63
6856.4	10022.76
6857.2	9765.23
6858	10147.37
6858.8	10157.16
6859.6	9984.33
6860.4	10244.74
6861.2	9995.53
6862	10026.99
6862.8	10116.52
6863.6	10193.36
6864.4	10147.22
6865.2	10157.12
6866	10015.75
6866.8	9388.19
6867.6	7746.95
6868.4	6221.98
6869.2	6324.47
6870	6952.76
6870.8	7215.65
6871.6	7229.33
6872.4	7599.2
6873.2	7568.03
6874	7903.92
6874.8	7960.08
6875.6	8248.18
6876.4	8561.22
6877.2	8580.49
6878	8978.32
6878.8	9268.03
6879.6	9176.08
6880.4	9707.6
6881.2	10184.93
6882	10271.43
6882.8	10592.21
6883.6	9779.16
6884.4	9622.28
6885.2	9732.34
6886	9182.93
6886.8	8853.04
6887.6	9698.24
6888.4	10134.96
6889.2	8939
6890	8797.66
6890.8	9733.83
6891.6	10139.54
6892.4	9176.78
6893.2	8286.07
6894	9242.34
6894.8	10036.41
6895.6	9823.94
6896.4	8802.12
6897.2	8751.9
6898	9679.93
6898.8	10496.72
6899.6	9688.02
6900.4	8922.41
6901.2	8913.25
6902	10023.89
6902.8	10300.85
6903.6	9980.42
6904.4	8916.01
6905.2	9068.63
