Stellar Spectroscopy - BD-03 4630	
	
Date of Observation:	7/27/2010
Star Observed:	BD-03 4630
Spectral Class:	A4
	
Wavelength (A)	Intensity (Counts)
6383.6	3029.553955
6384.4	3005.999756
6385.2	2965.781982
6386	2971.901367
6386.8	2977.890625
6387.6	3016.908691
6388.4	3028.925049
6389.2	3064.943359
6390	3102.353271
6390.8	2966.749512
6391.6	3093.525879
6392.4	3047.056641
6393.2	3162.962402
6394	3019.968262
6394.8	2993.255615
6395.6	3021.976074
6396.4	2898.51709
6397.2	3051.425293
6398	3044.121582
6398.8	3068.438232
6399.6	3034.404785
6400.4	3048.385742
6401.2	2973.738037
6402	3032.9021
6402.8	3010.945801
6403.6	3011.709473
6404.4	2988.516113
6405.2	2994.495605
6406	3000.906982
6406.8	3054.385498
6407.6	3078.855469
6408.4	3068.318115
6409.2	2916.120605
6410	2915.730225
6410.8	2984.820801
6411.6	3032.274902
6412.4	3049.656982
6413.2	3013.666016
6414	3018.186035
6414.8	3034.351562
6415.6	3049.591309
6416.4	3024.397949
6417.2	3057.457275
6418	3016.621094
6418.8	3063.634521
6419.6	3055.120117
6420.4	3055.336426
6421.2	3030.013184
6422	3037.96582
6422.8	3031.203613
6423.6	3067.407715
6424.4	3024.794189
6425.2	3056.94043
6426	3007.164551
6426.8	3053.314697
6427.6	3062.743164
6428.4	3043.358398
6429.2	3010.26416
6430	3009.342285
6430.8	2992.279541
6431.6	2986.412109
6432.4	3044.215088
6433.2	3099.295654
6434	3043.962158
6434.8	3041.96167
6435.6	3078.382812
6436.4	2996.710938
6437.2	3076.306396
6438	3019.580078
6438.8	3007.758545
6439.6	3040.955811
6440.4	3055.225586
6441.2	3035.654541
6442	2940.220703
6442.8	3030.979736
6443.6	2991.10498
6444.4	3043.258057
6445.2	3005.98877
6446	2973.561523
6446.8	3056.986084
6447.6	3004.787109
6448.4	3025.544434
6449.2	2941.760498
6450	3083.951904
6450.8	3003.219482
6451.6	2944.193115
6452.4	3008.249756
6453.2	3052.621582
6454	3011.763184
6454.8	3080.193115
6455.6	2892.987549
6456.4	2983.358398
6457.2	3067.008789
6458	3036.987793
6458.8	3036.430176
6459.6	2999.969482
6460.4	2999.093506
6461.2	3120.35376
6462	2970.436768
6462.8	3020.226562
6463.6	3035.406738
6464.4	3082.921387
6465.2	3046.396484
6466	3061.79541
6466.8	3009.999756
6467.6	3003.955811
6468.4	3034.569092
6469.2	3053.570068
6470	3067.716309
6470.8	3027.824707
6471.6	3126.832031
6472.4	3048.686768
6473.2	3078.616211
6474	3085.798096
6474.8	3170.515381
6475.6	3060.579834
6476.4	3033.611572
6477.2	2999.037354
6478	3029.439697
6478.8	3038.490234
6479.6	3034.620117
6480.4	3070.239014
6481.2	3068.941895
6482	3021.362793
6482.8	3087.246826
6483.6	3074.542236
6484.4	3004.096924
6485.2	3046.022705
6486	3125.50415
6486.8	3070.973389
6487.6	3118.548584
6488.4	3046.212646
6489.2	3188.281494
6490	3099.671875
6490.8	3067.350342
6491.6	3088.963623
6492.4	3135.737305
6493.2	3085.789062
6494	3176.459961
6494.8	3152.770264
6495.6	3141.76123
6496.4	3129.299805
6497.2	3144.072266
6498	3070.795166
6498.8	3090.726318
6499.6	3134.542236
6500.4	3131.699951
6501.2	3152.390381
6502	3150.741455
6502.8	3139.730713
6503.6	3068.649902
6504.4	3109.658203
6505.2	3129.818115
6506	3101.550537
6506.8	3085.69873
6507.6	3067.671631
6508.4	3119.193604
6509.2	3156.067139
6510	3078.439453
6510.8	3081.30835
6511.6	3083.867676
6512.4	3145.907227
6513.2	3101.981445
6514	3047.328369
6514.8	3100.41333
6515.6	3125.080566
6516.4	3059.277832
6517.2	3022.93335
6518	3028.700928
6518.8	3088.727539
6519.6	3117.300537
6520.4	3042.175781
6521.2	3012.811523
6522	3082.087402
6522.8	3073.607422
6523.6	3053.846436
6524.4	3046.278076
6525.2	3043.036865
6526	3071.817383
6526.8	3072.525635
6527.6	3039.278076
6528.4	3088.675049
6529.2	3037.400635
6530	3054.61084
6530.8	3107.953613
6531.6	3105.555664
6532.4	3089.025146
6533.2	2993.94043
6534	3099.585938
6534.8	3036.25
