Stellar Spectroscopy - HD 229258	
	
Date of Observation:	7/20/2010
Star Observed:	HD 229258
Spectral Class:	B2
	
Wavelength (A)	Intensity (Counts)
6200.4	1224.810547
6201.2	1203.936157
6202	1154.262939
6202.8	1178.872925
6203.6	1249.621582
6204.4	1243.610718
6205.2	1212.111084
6206	1273.840576
6206.8	1232.470581
6207.6	1241.283569
6208.4	1266.145142
6209.2	1198.910156
6210	1185.086792
6210.8	1187.789917
6211.6	1240.927246
6212.4	1211.310547
6213.2	1228.205078
6214	1228.860474
6214.8	1249.93457
6215.6	1207.577271
6216.4	1263.905762
6217.2	1258.484619
6218	1283.795166
6218.8	1219.753418
6219.6	1262.251587
6220.4	1242.710449
6221.2	1266.487915
6222	1250.759766
6222.8	1219.793335
6223.6	1235.776611
6224.4	1249.322998
6225.2	1302.889893
6226	1242.194092
6226.8	1307.251343
6227.6	1204.590454
6228.4	1243.263794
6229.2	1251.173584
6230	1228.745605
6230.8	1229.497192
6231.6	1247.615479
6232.4	1213.345093
6233.2	1254.350342
6234	1234.664062
6234.8	1238.279907
6235.6	1214.123901
6236.4	1191.581665
6237.2	1207.791138
6238	1270.254272
6238.8	1219.954956
6239.6	1199.689209
6240.4	1258.514893
6241.2	1199.504517
6242	1248.688477
6242.8	1167.407593
6243.6	1253.360107
6244.4	1251.51123
6245.2	1230.279907
6246	1274.833374
6246.8	1240.456055
6247.6	1215.392334
6248.4	1284.102539
6249.2	1232.766968
6250	1206.198608
6250.8	1247.014893
6251.6	1296.866943
6252.4	1294.411621
6253.2	1289.858032
6254	1283.869263
6254.8	1220.40271
6255.6	1277.883057
6256.4	1224.296021
6257.2	1291.08374
6258	1254.63855
6258.8	1230.422607
6259.6	1264.181641
6260.4	1278.004761
6261.2	1206.851807
6262	1253.313354
6262.8	1241.225342
6263.6	1292.868774
6264.4	1290.343994
6265.2	1308.327148
6266	1248.027466
6266.8	1241.255371
6267.6	1225.940186
6268.4	1246.3125
6269.2	1224.599243
6270	1247.134155
6270.8	1259.102417
6271.6	1210.555298
