Steller Spectroscopy HD 200207	
	
Date of Observation:	7/23/2010
Star Observed:	HD 200207
Spectral Class:	G5
	
Wavelength (A)	Intensity (Counts)
6460.4	16798.08
6461.2	17110.36
6462	16605.77
6462.8	14148.08
6463.6	14871.27
6464.4	16355
6465.2	16695.07
6466	16873.45
6466.8	16828.06
6467.6	17046.65
6468.4	16967.52
6469.2	16280.68
6470	16247.06
6470.8	16898.04
6471.6	16164.67
6472.4	15928.42
6473.2	17020.38
6474	17263.04
6474.8	17012.17
6475.6	15866.48
6476.4	15987.23
6477.2	16860.21
6478	16800.39
6478.8	16669.48
6479.6	17042.33
6480.4	16792.28
6481.2	16646.33
6482	15790.68
6482.8	15453.14
6483.6	15833.44
6484.4	16516.64
6485.2	17044.74
6486	17104.63
6486.8	17026.48
6487.6	17362.46
6488.4	17359.38
6489.2	17195.16
6490	16992.39
6490.8	16870.94
6491.6	16368.18
6492.4	16655.09
6493.2	16455.18
6494	15250.67
6494.8	14103.54
6495.6	14229.38
6496.4	14595.14
6497.2	14491.06
6498	16140.17
6498.8	16171.25
6499.6	15416.95
6500.4	16376.23
6501.2	17064.58
6502	16707.3
6502.8	17348.9
6503.6	17400.91
6504.4	16902.32
6505.2	17260.34
6506	17676.72
6506.8	17618.21
6507.6	17465.9
6508.4	17240.61
6509.2	17252.43
6510	17125.64
6510.8	17293.33
6511.6	17337.63
6512.4	17248.01
6513.2	17402.04
6514	17456.95
6514.8	17122.43
6515.6	16901.82
6516.4	16235.65
6517.2	16673.36
6518	16615.12
6518.8	16008.28
6519.6	16500.72
6520.4	17153.97
6521.2	17501.42
6522	17606.76
6522.8	17303.46
6523.6	17149.58
6524.4	17443.65
6525.2	17791.22
6526	17604.68
6526.8	16701.92
6527.6	16576.5
6528.4	17170.27
6529.2	17366.62
6530	17959.57
6530.8	18025.5
6531.6	17485.81
6532.4	17216.56
6533.2	16895.76
6534	16862.63
6534.8	17295.42
6535.6	18042.72
6536.4	17681.76
6537.2	17355.48
6538	17364.96
6538.8	17380.92
6539.6	17579.94
6540.4	17673.84
6541.2	17888.71
6542	17698.24
6542.8	17580.05
6543.6	17637.48
6544.4	17676.4
6545.2	17688.7
6546	17002.99
6546.8	16578.14
6547.6	17299.14
6548.4	17424.17
6549.2	17660.78
6550	17582.39
6550.8	17712.27
6551.6	17331.45
6552.4	17252.75
6553.2	17352.19
6554	17258.08
6554.8	16985.1
6555.6	16527.58
6556.4	16526.81
6557.2	17541.75
6558	17503.68
6558.8	17544.06
6559.6	17051.72
6560.4	16309
6561.2	16292.65
6562	14269.9
6562.8	8841.84
6563.6	9502.3
6564.4	14773.27
6565.2	16836.48
6566	17419.22
6566.8	17763.26
6567.6	17860.08
6568.4	17828.92
6569.2	16792.48
6570	16947.31
6570.8	17623.17
6571.6	17759.02
6572.4	17341.23
6573.2	16938.61
6574	17228.63
6574.8	16241.53
6575.6	16669.66
6576.4	17967.1
6577.2	18189.01
6578	18480.92
6578.8	18505.11
6579.6	18157.84
6580.4	17814.7
6581.2	17118.95
6582	17266.05
6582.8	17750.97
6583.6	17797.15
6584.4	17853.2
6585.2	18077.13
6586	17556.96
6586.8	17313.69
6587.6	18330.68
6588.4	18612.34
6589.2	18353.32
6590	18521.54
6590.8	18150.13
6591.6	18128.55
6592.4	17121.57
6593.2	15479
6594	15551.17
6594.8	17082.8
6595.6	17695.78
6596.4	17700.26
6597.2	17758.05
6598	17396.59
6598.8	17303.37
6599.6	17671.15
6600.4	18276.68
6601.2	18534.89
6602	18462.78
6602.8	18331.14
6603.6	18292.67
6604.4	17811.05
6605.2	17488.29
6606	17791.54
6606.8	17724.53
6607.6	17487.51
6608.4	17268.49
6609.2	16632.92
6610	16796.3
6610.8	18492.69
6611.6	18693.44
6612.4	18838.23
6613.2	18144.17
6614	17613.42
6614.8	18369.57
6615.6	18739.46
6616.4	18677.98
6617.2	18656.78
6618	18525.45
6618.8	18737.49
6619.6	18792.36
6620.4	19022.34
6621.2	19134.91
6622	18795.89
6622.8	19070.06
6623.6	18749.22
6624.4	18166.3
6625.2	17668.52
6626	18462.06
6626.8	18846.8
6627.6	18134.01
6628.4	18272.05
6629.2	18562.64
6630	18109.11
6630.8	18146.73
6631.6	17987.8
6632.4	17910.96
6633.2	17371.37
6634	16036.71
6634.8	16985.41
6635.6	17726.13
6636.4	18208.53
6637.2	18476.96
6638	18304.4
6638.8	18424.68
6639.6	17590.64
6640.4	17288.56
6641.2	18490.79
6642	18795.79
6642.8	18371.38
6643.6	16964.59
6644.4	16984.09
6645.2	18121.49
6646	18176.64
6646.8	18250.88
6647.6	17841.49
6648.4	17934.13
6649.2	18370.03
6650	18572.09
6650.8	18499.9
6651.6	18667.12
6652.4	18616.64
6653.2	18729.49
6654	18619.9
6654.8	18773.21
6655.6	18959.95
6656.4	18825.32
6657.2	18680.62
6658	19145.69
6658.8	19048.29
6659.6	18858.24
6660.4	18742.14
6661.2	18276.94
6662	18800.44
6662.8	18031.74
6663.6	16996.75
6664.4	18241.2
6665.2	18919.9
6666	18694.82
6666.8	18654.96
6667.6	18278.51
6668.4	18281.98
6669.2	18370.5
6670	18708.05
6670.8	18709.9
6671.6	18595.46
6672.4	18209.2
6673.2	18285.12
6674	18312.98
6674.8	18700.42
6675.6	18809.06
6676.4	18990.14
6677.2	18617.38
6678	16782.19
6678.8	17293.3
6679.6	18607.01
6680.4	19057.84
6681.2	19171.72
6682	19225.57
6682.8	19353.31
6683.6	19111.05
6684.4	19047.19
