Steller Spectroscopy HD 200207	
	
Date of Observation:	7/23/2010
Star Observed:	HD 200207
Spectral Class:	G5
	
Wavelength (A)	Intensity (Counts)
7322	13684.91
7322.8	14031.66
7323.6	13490.44
7324.4	12922.55
7325.2	13323.27
7326	12763.84
7326.8	12575.3
7327.6	12806.3
7328.4	13378.71
7329.2	13713.38
7330	13575.91
7330.8	13224.01
7331.6	13425.92
7332.4	14061.91
7333.2	13844.12
7334	13284.13
7334.8	13717.25
7335.6	14227.02
7336.4	14580.24
7337.2	15044.24
7338	14630.65
7338.8	14451.91
7339.6	13937.22
7340.4	13862.07
7341.2	14268.09
7342	14273.41
7342.8	14186.08
7343.6	13971.93
7344.4	12942.04
7345.2	12720.91
7346	13640.3
7346.8	13964.79
7347.6	13803.2
7348.4	13687.44
7349.2	13610.64
7350	13254.3
7350.8	13017.97
7351.6	12760.81
7352.4	13533.26
7353.2	13762.47
7354	13331.11
7354.8	13614.06
7355.6	12878.31
7356.4	12181.21
7357.2	12798.72
7358	13282.43
7358.8	13388.87
7359.6	13995.14
7360.4	14012.2
7361.2	13583.51
7362	13075.81
7362.8	13040.26
7363.6	13256.99
7364.4	13002.57
7365.2	13675.59
7366	14130.95
7366.8	13881.3
7367.6	14216.15
7368.4	14647.57
7369.2	14059.09
7370	13752.6
7370.8	14232.04
7371.6	14840.28
7372.4	14991.99
7373.2	14689.06
7374	14778.08
7374.8	14642.96
7375.6	14559.37
7376.4	14407.84
7377.2	14543.74
7378	14660.62
7378.8	14590
7379.6	14697.75
7380.4	14849.84
7381.2	14756.23
7382	14284.45
7382.8	13870.31
7383.6	14063.69
7384.4	14531.26
7385.2	14500.76
7386	14012.17
7386.8	14167.11
7387.6	14362.03
7388.4	14775.22
7389.2	14291.62
7390	13950.92
7390.8	15036.96
7391.6	15721.04
7392.4	15711.48
7393.2	15302.82
7394	14174.33
7394.8	14832.59
7395.6	15286.75
7396.4	14558.05
7397.2	14427.09
7398	14537.03
7398.8	14637.5
7399.6	14460.17
7400.4	13931.96
7401.2	13756.45
7402	13694.1
7402.8	14152.55
7403.6	14996.51
7404.4	15115.06
7405.2	15079.44
7406	14169.09
7406.8	14493.77
7407.6	15653
7408.4	15548.86
7409.2	14356.22
7410	14114.44
7410.8	14888.93
7411.6	14156.23
7412.4	15029.46
7413.2	15313.62
7414	14794.45
7414.8	13621.35
7415.6	13427.1
7416.4	13750.77
7417.2	14525.7
7418	14577.19
7418.8	14809.41
7419.6	14875.28
7420.4	15106.12
7421.2	15335.88
7422	14553.77
7422.8	14243.79
7423.6	14162.63
7424.4	14695.51
7425.2	15636.32
7426	16160.01
7426.8	16461.9
7427.6	16395.2
7428.4	16088.67
7429.2	16199.68
7430	15869.36
7430.8	15144.3
7431.6	14845.54
7432.4	15259.13
7433.2	15147.25
7434	15361.17
7434.8	15420.59
7435.6	15130.18
7436.4	14970.24
7437.2	14806.51
7438	14713.71
7438.8	15016.29
7439.6	15080.61
7440.4	14527.95
7441.2	14132.06
7442	14910.63
7442.8	15057.42
7443.6	14803.06
7444.4	15506.71
7445.2	15031.03
7446	13884.39
7446.8	14669.93
7447.6	14499.83
7448.4	14349.07
7449.2	14539.31
7450	14166.83
7450.8	14204.59
7451.6	14690.12
7452.4	14295.68
7453.2	14444.49
7454	14751.23
7454.8	14370.58
7455.6	14708.77
7456.4	14924.89
7457.2	15032.04
7458	15325.37
7458.8	15358.5
7459.6	15339.5
7460.4	15395.38
7461.2	15037.51
7462	13913.46
7462.8	13741.03
7463.6	14409.33
7464.4	14831.91
7465.2	15211.34
7466	15538.66
7466.8	15534.97
7467.6	15414.52
7468.4	15562.62
7469.2	15132.34
7470	15106.79
7470.8	15120.43
7471.6	15298.03
7472.4	15092.02
7473.2	14858.54
7474	14885.22
7474.8	15294.5
7475.6	14985.89
7476.4	14993.44
7477.2	15013.04
7478	15210.71
7478.8	15028.83
7479.6	15012.69
7480.4	15265.22
7481.2	15169.19
7482	14679.74
7482.8	14478.19
7483.6	14882.38
7484.4	15044.87
7485.2	15106.31
7486	15291.58
7486.8	15082.85
7487.6	15512.22
7488.4	15501.3
7489.2	15493.34
7490	15241.11
7490.8	15298.17
7491.6	15062.35
7492.4	14714.78
7493.2	15195.78
7494	14612.86
7494.8	13533.57
7495.6	12904.64
7496.4	13917.53
7497.2	14747.68
7498	14348.4
7498.8	14198.67
7499.6	14077.09
7500.4	14027.98
7501.2	14031.94
7502	14006.73
7502.8	13904.74
7503.6	13989.5
7504.4	13890.39
7505.2	13691.27
7506	13548.12
7506.8	13477.4
7507.6	13297.95
7508.4	13816.31
7509.2	14105.08
7510	14090.37
7510.8	13234.82
7511.6	12354.7
7512.4	13611.74
7513.2	14184.02
7514	14240.15
7514.8	14198.05
7515.6	14094.49
7516.4	14341.18
7517.2	14751.8
7518	14764.05
7518.8	14820.67
7519.6	15126.16
7520.4	15016.09
7521.2	14801.08
7522	14304.68
7522.8	13357.44
7523.6	13071.89
7524.4	14101.41
7525.2	13851.48
7526	13894.89
7526.8	14396.12
7527.6	14699.99
7528.4	14552.41
7529.2	14641.87
7530	14710.54
7530.8	14354.29
7531.6	13679.32
7532.4	14481.95
7533.2	14818.85
7534	14875.36
7534.8	15006.21
7535.6	14986.55
7536.4	15465.52
7537.2	15237.87
7538	15010.43
7538.8	15296.65
7539.6	15623.97
7540.4	15261.72
7541.2	15464.94
7542	15512.6
7542.8	15499.3
7543.6	15421.86
7544.4	15454.69
7545.2	15279.14
7546	14798.83
7546.8	14135.12
7547.6	14321.13
7548.4	14594.75
7549.2	14640.01
7550	14524.3
7550.8	14392.38
7551.6	14399.35
7552.4	14497.78
7553.2	14228.08
7554	14449.27
7554.8	14210.33
7555.6	13736.67
7556.4	13768.84
7557.2	14443.43
7558	14462.91
7558.8	14702.7
7559.6	14506.69
7560.4	14098.88
7561.2	14543.03
7562	14685.15
7562.8	14739.69
7563.6	14843.83
7564.4	15174.67
7565.2	15218.03
7566	15238.68
7566.8	15390.56
7567.6	15176.96
7568.4	15139.88
7569.2	14228.93
7570	14523.46
7570.8	15219.75
7571.6	15280.31
7572.4	15187.22
7573.2	14968.84
7574	14168.46
7574.8	13774.22
7575.6	14334.43
7576.4	14870.47
7577.2	14474.38
7578	14186.84
7578.8	14238.04
7579.6	14093.23
7580.4	14171.31
7581.2	14187.9
7582	14451.31
7582.8	13765.56
7583.6	13400.39
7584.4	13023.44
7585.2	13968.13
7586	13239.68
7586.8	12936.14
7587.6	14075.02
7588.4	13581.8
7589.2	13449.78
7590	13687.6
7590.8	13526.92
7591.6	13396.7
7592.4	13234.29
7593.2	13014.4
7594	10867.79
7594.8	8100.24
7595.6	6854.49
7596.4	5778.85
7597.2	5797.24
7598	6337.59
7598.8	6128.28
7599.6	5425.78
7600.4	4770.42
7601.2	4048.44
7602	4117.55
7602.8	3230.84
7603.6	4116.84
7604.4	3339.86
7605.2	3495.02
7606	3666.19
7606.8	3573.85
7607.6	3819.54
7608.4	4427.62
7609.2	4973.99
7610	4177.66
7610.8	4597.04
7611.6	6604.09
7612.4	5861.57
7613.2	5582.3
7614	7551.08
7614.8	9266.22
7615.6	7430
7616.4	7922.12
7617.2	9976.39
7618	12920.32
7618.8	13502.84
7619.6	12737.75
7620.4	11850.15
7621.2	8944.41
7622	9516.24
7622.8	11254.47
7623.6	7994.54
7624.4	6028.25
7625.2	6574.47
7626	9635.49
7626.8	9236.67
7627.6	5576.83
7628.4	4681.26
7629.2	6663.83
7630	9473.8
7630.8	8154.7
7631.6	4907.25
7632.4	4433.86
7633.2	6743.72
7634	9719.04
7634.8	9058.3
7635.6	5589.37
7636.4	4443.21
7637.2	6233.52
7638	10063.82
7638.8	10500.04
7639.6	7774.25
7640.4	4773.76
7641.2	5493.04
7642	9009.38
7642.8	11560.77
7643.6	10908.93
7644.4	7522.24
7645.2	5765.52
7646	7069.13
7646.8	10969.52
7647.6	12387.22
7648.4	11984.1
7649.2	8768.03
7650	6760.56
7650.8	7271.7
7651.6	10413.01
7652.4	12145.78
7653.2	11637.05
7654	9560.8
7654.8	7327.08
7655.6	7567.99
7656.4	10336.72
7657.2	12106.23
7658	11536.75
7658.8	11208.79
7659.6	8921.42
7660.4	8093
7661.2	9275.02
7662	12057.25
7662.8	13513.94
7663.6	13574.94
7664.4	11587.51
7665.2	9552.61
7666	10451.39
7666.8	12108.98
7667.6	14365.5
7668.4	14783.74
7669.2	14352.36
7670	13610.25
7670.8	12407.15
7671.6	11841.19
7672.4	12143.94
7673.2	13537.2
7674	13655.21
7674.8	13652.79
7675.6	13512.19
7676.4	12731.45
7677.2	11756.79
7678	11716.56
7678.8	12370.58
7679.6	12933.34
7680.4	12549.46
7681.2	12494.22
7682	12644.92
7682.8	11644.67
7683.6	11143.15
7684.4	11336.45
7685.2	11879.25
7686	11951.14
7686.8	12000.97
7687.6	11662.56
7688.4	11417.48
7689.2	11098.26
7690	10901.63
7690.8	11027.12
7691.6	11312.39
7692.4	11580.29
7693.2	12371.58
7694	12457.18
7694.8	12687.15
7695.6	12700.16
7696.4	12285.91
7697.2	12487.9
7698	12931.98
7698.8	12215.18
7699.6	11950.74
7700.4	13334.3
7701.2	13793.44
7702	14098.04
7702.8	13921.27
7703.6	13974.61
7704.4	14045.88
7705.2	14200.57
7706	14071.92
7706.8	13790.34
7707.6	13707.21
7708.4	13472.74
7709.2	13510.08
7710	12616.4
7710.8	12106.26
7711.6	12483.47
7712.4	12780.63
7713.2	12942.84
7714	12949.33
7714.8	11872.48
7715.6	12056.96
7716.4	12638.53
7717.2	13027.92
7718	13056.36
7718.8	12572.88
7719.6	12206.52
7720.4	12265.57
7721.2	12182.23
7722	12214.08
7722.8	11646.12
7723.6	11514.93
7724.4	12132.9
7725.2	12312.59
7726	12484.43
7726.8	12437.05
7727.6	11748.77
7728.4	11618.24
7729.2	12525.51
7730	12567.05
7730.8	12287.19
7731.6	12233.13
7732.4	11831.91
7733.2	11717.49
7734	11920.14
7734.8	12242.49
7735.6	12155.39
7736.4	12044.74
7737.2	12486.24
7738	12366.89
7738.8	12862.99
7739.6	13199.16
7740.4	12872
7741.2	12758.9
7742	12387.73
7742.8	11991
7743.6	11857.85
7744.4	12394.93
7745.2	12055.53
7746	11425.96
7746.8	11579.78
7747.6	11466.43
7748.4	10602.77
7749.2	10257.43
7750	11525.41
7750.8	11722.5
7751.6	11509.71
7752.4	11640.25
7753.2	11760.07
7754	12068.31
7754.8	12193.75
7755.6	12263.42
7756.4	12571.53
7757.2	12748.4
7758	12790.41
7758.8	12615.62
7759.6	12320.54
7760.4	12350.8
7761.2	12529.22
7762	12918.94
7762.8	12878.42
7763.6	12701.7
7764.4	12474.67
7765.2	12312.67
7766	12300.26
7766.8	12477.49
7767.6	12600.83
7768.4	12783.71
7769.2	13091.06
7770	13029.13
7770.8	13304.39
7771.6	13102.03
7772.4	12974.29
7773.2	13036.66
7774	12994.04
7774.8	12788.2
7775.6	12759.49
7776.4	12869.32
7777.2	12715.72
7778	12797.14
7778.8	13229.14
7779.6	12750.56
7780.4	12180.84
7781.2	11543.21
7782	12169.25
7782.8	12472.11
7783.6	12341.23
7784.4	12179.3
7785.2	11933.26
7786	11840.58
7786.8	11746.73
7787.6	11750.2
7788.4	11447.65
7789.2	10783.2
7790	11544.44
7790.8	12182.77
7791.6	12363.17
7792.4	12419.05
7793.2	12307.04
7794	12139.38
7794.8	11884.71
7795.6	11513.67
7796.4	10867.3
7797.2	10526.58
7798	9845.83
7798.8	10140.33
7799.6	10028.53
7800.4	9968.44
7801.2	10349.96
7802	10684.65
7802.8	10480.16
7803.6	10550.5
7804.4	10450.23
7805.2	10332.82
7806	10212.66
7806.8	10198.96
7807.6	9898.32
7808.4	9894.61
7809.2	10349.39
7810	10332.79
7810.8	9757.73
7811.6	9546.51
7812.4	10274.91
7813.2	10759.56
7814	10927.03
7814.8	10926.75
7815.6	10933.85
7816.4	10744.53
7817.2	11010.28
7818	11122.23
7818.8	10735.53
7819.6	10892.6
7820.4	11039.13
7821.2	11008.62
7822	11083.29
7822.8	11475.37
7823.6	11185.07
7824.4	11067.19
7825.2	10743.82
7826	10774.22
7826.8	10434.06
7827.6	10263.16
7828.4	10185.99
7829.2	10236.63
7830	10055.91
7830.8	10028.11
7831.6	9620.85
7832.4	8888.12
7833.2	9573.16
7834	10319.94
7834.8	10503.51
7835.6	10229.15
7836.4	10304.24
7837.2	10783.35
7838	10940.93
7838.8	10759.07
7839.6	10838.65
7840.4	10948.04
7841.2	11154.58
7842	11195.83
7842.8	11107.67
7843.6	11296.23
7844.4	11411.39
7845.2	11317.88
7846	11547.14
7846.8	11511.64
7847.6	11496.54
7848.4	11594.9
7849.2	11304.56
7850	10974.16
7850.8	11152.08
7851.6	11487.06
7852.4	11643.36
7853.2	11711.24
7854	11749.38
7854.8	11621.89
7855.6	11359.16
7856.4	11674.79
7857.2	11837.6
7858	11909.42
7858.8	12092.75
7859.6	11723.16
7860.4	11515.68
7861.2	10993.71
7862	10839.91
7862.8	10678.03
7863.6	10408.23
7864.4	10358.03
7865.2	10662.42
7866	10962.54
7866.8	11370.53
7867.6	11622.76
7868.4	11711.92
7869.2	11356.29
7870	10543.52
7870.8	10478.54
7871.6	10597.93
7872.4	10024.43
7873.2	9749.08
7874	9873.47
7874.8	9802.74
7875.6	9595.17
7876.4	9599.48
7877.2	9365.12
7878	9599.23
7878.8	9925.76
7879.6	9799.25
7880.4	9699.49
7881.2	9507.15
7882	9343.59
7882.8	9602.4
7883.6	9927.39
7884.4	10133.3
7885.2	10142.37
7886	10551.06
7886.8	10691.34
7887.6	10803.32
7888.4	11586.92
7889.2	11697.19
7890	11734.55
7890.8	11812.6
7891.6	11769.65
7892.4	11593.24
7893.2	11177.53
7894	10579.96
7894.8	10415.49
7895.6	10431.38
7896.4	10399.83
7897.2	10699.6
7898	10972.31
7898.8	10966.49
7899.6	11008.91
7900.4	10711.15
7901.2	10691.74
7902	10560.05
7902.8	11126.5
7903.6	11128.8
7904.4	10977.09
7905.2	10969.44
7906	10901.09
7906.8	10606.14
7907.6	10459.64
7908.4	9781.11
7909.2	9321.84
7910	9698.77
7910.8	9855.4
7911.6	9954.27
7912.4	9469.5
7913.2	8769.43
7914	9409.84
7914.8	10065.15
7915.6	9763.8
7916.4	9552.49
7917.2	9312.34
7918	8660.33
7918.8	9267.37
7919.6	9709.82
7920.4	9349.03
7921.2	9526.38
7922	9700.61
7922.8	9324.18
7923.6	9301.9
7924.4	9392.65
7925.2	9740.11
7926	9702.98
7926.8	9700.76
7927.6	9913.11
7928.4	9715.41
7929.2	9877.27
7930	10068.3
7930.8	10138.06
7931.6	10725.6
7932.4	10510.31
7933.2	10369.99
7934	11383.9
7934.8	12243.4
7935.6	12413.8
7936.4	12034.66
7937.2	10997.29
7938	11304.91
7938.8	12036.71
7939.6	12214.35
7940.4	12484.22
7941.2	12007.05
7942	11607.55
7942.8	11838.01
7943.6	11365.1
7944.4	11274.88
7945.2	11627.71
7946	11050.57
7946.8	11866.14
7947.6	12616.58
7948.4	12482.38
7949.2	12408.11
7950	12647.58
7950.8	12582.44
7951.6	12272.46
7952.4	12483.89
7953.2	12824.99
7954	12458.48
7954.8	12194.29
7955.6	12219.69
7956.4	11979.98
7957.2	12146.55
7958	12520.07
7958.8	12112.18
7959.6	12188.03
7960.4	12166.07
7961.2	12214.04
7962	12316.53
7962.8	11759.69
7963.6	11744.29
7964.4	12083.2
7965.2	11671.3
7966	11750.66
7966.8	11680.23
7967.6	11471.48
7968.4	11043.76
7969.2	11064.72
7970	10976.52
7970.8	10811.49
7971.6	10884.83
7972.4	11228.86
7973.2	11575.56
7974	11569.71
7974.8	11493.26
7975.6	11847.3
7976.4	11795.43
7977.2	11597.5
7978	11385.59
7978.8	11130.23
7979.6	11534.4
7980.4	11648.11
7981.2	11658.12
7982	12182.73
7982.8	12641.21
7983.6	12741.82
7984.4	12302.68
7985.2	12294.54
7986	12540.2
7986.8	12069.38
7987.6	11309.88
7988.4	12028.53
7989.2	12723.28
7990	12951.82
7990.8	12716.25
7991.6	12692.53
7992.4	12394.67
7993.2	12665.89
7994	12383.37
7994.8	11711.51
7995.6	12222.44
7996.4	12571.91
7997.2	12866.35
7998	12604.56
7998.8	11461.43
7999.6	11403.46
