Stellar Spectroscopy - BD-02 5059	
	
Date of Observation:	7/27/2010
Star Observed:	BD-02 5059
Spectral Class:	G2
	
Wavelength (A)	Intensity (Counts)
6200.4	2790.317871
6201.2	2830.008057
6202	2743.792725
6202.8	2820.514893
6203.6	2785.593506
6204.4	2818.213135
6205.2	2807.085205
6206	2864.239746
6206.8	2830.55127
6207.6	2849.624268
6208.4	2866.431152
6209.2	2872.427246
6210	2881.517334
6210.8	2801.035645
6211.6	2690.438721
6212.4	2747.382812
6213.2	2743.82251
6214	2701.693848
6214.8	2783.078369
6215.6	2831.821045
6216.4	2788.906738
6217.2	2729.306885
6218	2711.247559
6218.8	2757.104492
6219.6	2763.141602
6220.4	2899.989746
6221.2	2875.259033
6222	2879.762451
6222.8	2894.059814
6223.6	2846.888428
6224.4	2793.73584
6225.2	2825.939941
6226	2770.357422
6226.8	2809.037354
6227.6	2837.101562
6228.4	2769.07373
6229.2	2669.283691
6230	2707.512695
6230.8	2702.053711
6231.6	2799.928223
6232.4	2859.74585
6233.2	2849.809814
6234	2835.635742
6234.8	2779.123779
6235.6	2890.575928
6236.4	2719.777832
6237.2	2811.232178
6238	2855.843994
6238.8	2739.314697
6239.6	2810.486328
6240.4	2935.686523
6241.2	2856.892578
6242	2800.612061
6242.8	2775.955566
6243.6	2748.012695
6244.4	2792.498047
6245.2	2718.766846
6246	2780.607422
6246.8	2829.333252
6247.6	2878.056152
6248.4	2860.134277
6249.2	2834.604492
6250	2814.661377
6250.8	2740.546875
6251.6	2779.074707
6252.4	2701.001221
6253.2	2700.63916
6254	2758.435791
6254.8	2764.675781
6255.6	2787.016846
6256.4	2792.032959
6257.2	2746.339111
6258	2852.377441
6258.8	2777.371582
6259.6	2896.487061
6260.4	2943.387695
6261.2	2883.744873
6262	2831.156494
6262.8	2763.775635
6263.6	2743.158203
6264.4	2809.591309
6265.2	2773.668945
6266	2916.947266
6266.8	2878.95459
6267.6	2899.61792
6268.4	2791.415771
6269.2	2761.864258
6270	2846.329834
6270.8	2890.13501
6271.6	2890.344238
6272.4	2846.151123
6273.2	2976.289551
6274	2890.873779
6274.8	2896.518066
6275.6	2878.333496
6276.4	2914.839111
6277.2	2720.397949
6278	2660.719238
6278.8	2628.263428
6279.6	2667.452393
6280.4	2713.135498
6281.2	2822.99292
6282	2789.809326
6282.8	2735.93335
6283.6	2786.359375
6284.4	2769.549805
6285.2	2786.029785
6286	2818.050537
6286.8	2889.110596
6287.6	2906.276611
6288.4	2739.474121
6289.2	2868.083496
6290	2782.614258
6290.8	2804.868896
6291.6	2867.578125
6292.4	2885.999023
6293.2	2861.306885
6294	2856.713135
6294.8	2863.689697
6295.6	2913.791748
6296.4	2724.954346
6297.2	2796.851318
6298	2832.802734
6298.8	2757.969727
6299.6	2659.27002
6300.4	2739.05249
6301.2	2835.945312
6302	2863.284912
6302.8	2793.859131
6303.6	2938.394775
6304.4	2937.781738
6305.2	2896.911621
6306	2903.151367
6306.8	2844.851074
6307.6	2932.762207
6308.4	2814.67041
6309.2	2909.775146
6310	2877.782227
6310.8	2916.053711
6311.6	2901.38916
6312.4	2833.951904
6313.2	2711.179443
6314	2827.771729
6314.8	2863.057129
6315.6	2855.256104
6316.4	2699.93457
6317.2	2785.347412
6318	2919.008057
6318.8	2864.816406
6319.6	2837.145508
6320.4	2842.969482
6321.2	2811.449463
6322	2832.624512
6322.8	2885.418701
6323.6	3010.956787
6324.4	2916.768311
6325.2	2906.461426
6326	2913.801514
6326.8	2909.159668
6327.6	3005.378906
6328.4	2909.188477
6329.2	2877.610107
6330	2976.956055
6330.8	2915.017334
6331.6	2963.271729
6332.4	2910.067139
6333.2	2896.124268
6334	2866.031494
6334.8	2872.297119
6335.6	2749.563721
6336.4	2915.481689
6337.2	2922.722412
6338	2836.930664
6338.8	2926.100342
6339.6	2954.86084
6340.4	2956.758545
6341.2	2920.30835
6342	2927.341309
6342.8	2880.888672
6343.6	2921.508301
6344.4	2958.196045
6345.2	2872.275879
6346	2893.135498
6346.8	3017.690918
6347.6	3034.066162
6348.4	3140.442627
6349.2	2926.673096
6350	2972.721436
6350.8	2945.371826
6351.6	2930.604736
6352.4	2936.036377
6353.2	2950.642334
6354	2927.988037
6354.8	2914.1875
6355.6	3003.952148
6356.4	2945.233154
6357.2	2991.569336
6358	2874.491455
6358.8	2934.773926
6359.6	2984.295654
6360.4	2954.294189
6361.2	2943.389404
6362	2922.637695
6362.8	2998.790039
6363.6	3005.564453
6364.4	3024.293457
6365.2	2987.16748
6366	2972.732666
6366.8	3031.861816
6367.6	2928.068115
6368.4	2997.299072
6369.2	2986.671143
6370	2957.969238
6370.8	2997.954834
6371.6	3072.718262
6372.4	2995.787354
6373.2	3056.483887
6374	3068.694336
6374.8	2999.005859
6375.6	3032.759521
6376.4	3002.103516
6377.2	2974.197754
6378	3038.731689
6378.8	2943.144531
6379.6	2970.853516
6380.4	3003.823975
6381.2	3016.806641
6382	3103.099609
6382.8	2996.377686
