Stellar Spectroscopy - BD+36-4307	
	
Date of Observation:	7/23/2010
Star Observed:	BD+36 4307
Spectral Class:	K0
	
Wavelength (A)	Intensity (Counts)
6461.2	7750.73
6462	7830.3
6462.8	6882.83
6463.6	6204.47
6464.4	7181.7
6465.2	7393.38
6466	7467.14
6466.8	7530.19
6467.6	7406.01
6468.4	7747.17
6469.2	7547.35
6470	7113.21
6470.8	7580.12
6471.6	7350.65
6472.4	6881.66
6473.2	7595.25
6474	7783.53
6474.8	7609.31
6475.6	7374.85
6476.4	7164.14
6477.2	7548.12
6478	7683.63
6478.8	7544.14
6479.6	7495.28
6480.4	7558.75
6481.2	7585.29
6482	7147.06
6482.8	6732.22
6483.6	6891.46
6484.4	7332.92
6485.2	7563.17
6486	7884.41
6486.8	7625.86
6487.6	7583.04
6488.4	7945.55
6489.2	7796.38
6490	7622.1
6490.8	7366.05
6491.6	7265.68
6492.4	7365.01
6493.2	7433.98
6494	6850.09
6494.8	6029.12
6495.6	5719.01
6496.4	6303.11
6497.2	6427.31
6498	6709.29
6498.8	7229.87
6499.6	6794.81
6500.4	7006.07
6501.2	7555.85
6502	7361.13
6502.8	7453.24
6503.6	7669.26
6504.4	7442.61
6505.2	7540.87
6506	7723.74
6506.8	7853.74
6507.6	7843.82
6508.4	7614.95
6509.2	7445.31
6510	7391.42
6510.8	7686.57
6511.6	7807.4
6512.4	7720.12
6513.2	7666.95
6514	7913.3
6514.8	7709.94
6515.6	7624.13
6516.4	7468.29
6517.2	7444.87
6518	7727.63
6518.8	7293.66
6519.6	7066.07
6520.4	7618.24
6521.2	7787.94
6522	8071.45
6522.8	7918.38
6523.6	7518.12
6524.4	7774.96
6525.2	8070.21
6526	8073.81
6526.8	7654.75
6527.6	7408.56
6528.4	7594.12
6529.2	7715.67
6530	7923.94
6530.8	8127.69
6531.6	7897.22
6532.4	7490.76
6533.2	7454.96
6534	7402.84
6534.8	7593.59
6535.6	8072.65
6536.4	8125.06
6537.2	7823.19
6538	7694.41
6538.8	7687.67
6539.6	7929.98
6540.4	8250.2
6541.2	8276.77
6542	7883.67
6542.8	7916.63
6543.6	7807.53
6544.4	7814.62
6545.2	8048.14
6546	7827.59
6546.8	7282.42
6547.6	7524.53
6548.4	7561.71
6549.2	7922.4
6550	8142.44
6550.8	8047.15
6551.6	7786.23
6552.4	7496.4
6553.2	7664.82
6554	7672.39
6554.8	7441.8
6555.6	7461.42
6556.4	7181.08
6557.2	7638.58
6558	7957.55
6558.8	7701.19
6559.6	7913.56
6560.4	7589.73
6561.2	7697.41
6562	7629.1
6562.8	5355.16
6563.6	3894.22
6564.4	5827.72
6565.2	7585.7
6566	7910.48
6566.8	7940.84
6567.6	8171.5
6568.4	8368.1
6569.2	8016.89
6570	7537.29
6570.8	7693.13
6571.6	7746.44
6572.4	7926.5
6573.2	7505.39
6574	7564.62
6574.8	7326.48
6575.6	7131.36
6576.4	7811.34
6577.2	8111.38
6578	8456.88
6578.8	8518.71
6579.6	8318.37
6580.4	8173.05
6581.2	7496.6
6582	7591.55
6582.8	7855.21
6583.6	7909.09
6584.4	8043.42
6585.2	8207.64
6586	8044.14
6586.8	7787.72
6587.6	8157.02
6588.4	8479.43
6589.2	8319.16
6590	8320.39
6590.8	8410.51
6591.6	8390.91
6592.4	7909.67
6593.2	6984.5
6594	6671.4
6594.8	7332.6
6595.6	7826.67
6596.4	7796.1
6597.2	7926.16
6598	7897.24
6598.8	7841.09
6599.6	7696.26
6600.4	8148.07
6601.2	8522.75
6602	8417.63
6602.8	8386.33
6603.6	8247.16
6604.4	8180.48
6605.2	7914.77
6606	7776.44
6606.8	7843.56
6607.6	7696.22
6608.4	7627.67
6609.2	7606.51
6610	7111.85
6610.8	7922.15
6611.6	8315.52
6612.4	8500.04
6613.2	8409.72
6614	8043.78
6614.8	7988.95
6615.6	8564.78
6616.4	8709.63
6617.2	8360.38
6618	8350.92
6618.8	8445.16
6619.6	8413.02
6620.4	8671.82
6621.2	8757.62
6622	8769.9
6622.8	8721.09
6623.6	8502.25
6624.4	8235.2
