Stellar Spectroscopy - BD+36-4307	
	
Date of Observation:	7/23/2010
Star Observed:	BD+36 4307
Spectral Class:	K0
	
Wavelength (A)	Intensity (Counts)
7327.6	5531.13
7328.4	6048.47
7329.2	6247.07
7330	6065.84
7330.8	5982.11
7331.6	6141.38
7332.4	6464.45
7333.2	6414.3
7334	6045.83
7334.8	6106.06
7335.6	6306.91
7336.4	6454.86
7337.2	6887.8
7338	6691.09
7338.8	6555.67
7339.6	6351.47
7340.4	6214.36
7341.2	6448.97
7342	6507.07
7342.8	6569.13
7343.6	6593.12
7344.4	5969.06
7345.2	5448.92
7346	5907.36
7346.8	6325.9
7347.6	6085.84
7348.4	6170.77
7349.2	6178.21
7350	6030.21
7350.8	5805.61
7351.6	5650.94
7352.4	5872.1
7353.2	6226.72
7354	6080.68
7354.8	6047.04
7355.6	5897.95
7356.4	5259.21
7357.2	5389.24
7358	5766.16
7358.8	5839.64
7359.6	6486.8
7360.4	6481.83
7361.2	6272.87
7362	6075.58
7362.8	5573.78
7363.6	5749.45
7364.4	5661.36
7365.2	5964.13
7366	6371.89
7366.8	6245.58
7367.6	6246.01
7368.4	6529.83
7369.2	6371.15
7370	6093.2
7370.8	6322.44
7371.6	6788.8
7372.4	6772.12
7373.2	6877.68
7374	6750.75
7374.8	6769
7375.6	6748.07
7376.4	6543.15
7377.2	6473.03
7378	6407.88
7378.8	6628.37
7379.6	6773.47
7380.4	6942.87
7381.2	6721.49
7382	6596.94
7382.8	6330.74
7383.6	6248.86
7384.4	6550.38
7385.2	6749.65
7386	6423.42
7386.8	6315.54
7387.6	6530.14
7388.4	6634.93
7389.2	6681.42
7390	6042.56
7390.8	6416.28
7391.6	7033.16
7392.4	7155.14
7393.2	7104.79
7394	6581.64
7394.8	6531.31
7395.6	7038.5
7396.4	6781.48
7397.2	6587.4
7398	6637.78
7398.8	6591.07
7399.6	6607.76
7400.4	6449.54
7401.2	6146.55
7402	6206.71
7402.8	6359.97
7403.6	6936.76
7404.4	7110.36
7405.2	7252
7406	6953.16
7406.8	6635.64
7407.6	6943.99
7408.4	7396.76
7409.2	6951.49
7410	6401.76
7410.8	6651.33
7411.6	6394.35
7412.4	6572.21
7413.2	7115.59
7414	6999.51
7414.8	6379.39
7415.6	5788.87
7416.4	6006.51
7417.2	6420.51
7418	6431.29
7418.8	6687.71
7419.6	6694.05
7420.4	6765.91
7421.2	6978.25
7422	6907.83
7422.8	6700.84
7423.6	6362.72
7424.4	6346.61
7425.2	6919.01
7426	7368.07
7426.8	7664.54
7427.6	7712.05
7428.4	7512.51
7429.2	7483.67
7430	7415.03
7430.8	7208.28
7431.6	6652.58
7432.4	6702.76
7433.2	6665.46
7434	6713.76
7434.8	7099.13
7435.6	7137.01
7436.4	6806.13
7437.2	6814.13
7438	6623.18
7438.8	6740.38
7439.6	6994.35
7440.4	6788.73
7441.2	6291.79
7442	6449.88
7442.8	6805.27
7443.6	6651.69
7444.4	6982.39
7445.2	7070.28
7446	6475.37
7446.8	6401.1
7447.6	6583.99
7448.4	6503.27
7449.2	6637.9
7450	6488.4
7450.8	6558.31
7451.6	6717.86
7452.4	6499.13
7453.2	6458.05
7454	6672.79
7454.8	6639.06
7455.6	6647.79
7456.4	6836.28
7457.2	6747
7458	6668.64
7458.8	6818.45
7459.6	6839.79
7460.4	7033
7461.2	6865.69
7462	6474.26
7462.8	6019.82
7463.6	6244.1
7464.4	6557.09
7465.2	6682.57
7466	7225.89
7466.8	7310.35
7467.6	6992
7468.4	7122.67
7469.2	7026.78
7470	6780.13
7470.8	6792.9
7471.6	6795.37
7472.4	6751.41
7473.2	6700.01
7474	6708.3
7474.8	6695.78
7475.6	6652.39
7476.4	6541.1
7477.2	6811.35
7478	7004.54
7478.8	6833.06
7479.6	6667.59
7480.4	6733.32
7481.2	6980.29
7482	6706.25
7482.8	6483.54
7483.6	6632.51
7484.4	6741.3
7485.2	6788.38
7486	6825.19
7486.8	6994.63
7487.6	7038.1
7488.4	7168.37
7489.2	7133.85
7490	6744.19
7490.8	6635.3
7491.6	7002.24
7492.4	6686.14
7493.2	6787.84
7494	6733.98
7494.8	6208.46
7495.6	5590.77
7496.4	5956.35
7497.2	6615.22
7498	6766.16
7498.8	6635.03
7499.6	6298.5
7500.4	6430.3
