Stellar Spectroscopy - BD+00 4814	
	
Date of Observation:	8/3/2010
Star Observed:	BD+00 4814
Spectral Class:	M0
	
Wavelength (A)	Intensity (Counts)
6522	7322.606445
6522.8	7375.499023
6523.6	7305.36377
6524.4	7316.877441
6525.2	7448.154297
6526	7474.104492
6526.8	7426.331543
6527.6	7128.366211
6528.4	7141.038574
6529.2	7396.904785
6530	7274.101562
6530.8	7432.312988
6531.6	7279.752441
6532.4	7017.30957
6533.2	7024.665527
6534	7249.305176
6534.8	7795.729004
6535.6	7869.469727
6536.4	7955.027344
6537.2	7841.671875
6538	7577.490234
6538.8	7549.318359
6539.6	7958.004395
6540.4	8232.506836
6541.2	7915.537109
6542	7915.226074
6542.8	7684.602539
6543.6	7125.889648
6544.4	6998.850098
6545.2	7226.739746
6546	7339.470703
6546.8	6769.912109
6547.6	7020.567871
6548.4	7297.888184
6549.2	7448.300293
6550	7404.22168
6550.8	7147.812012
6551.6	6974.6875
6552.4	6875.114746
6553.2	7135.849609
6554	7099.74707
6554.8	6743.927734
6555.6	6803.345215
6556.4	6616.674805
6557.2	6864.135742
6558	7149.760742
6558.8	7175.792969
6559.6	7530.774902
6560.4	7505.175293
6561.2	7481.320801
6562	7252.956055
6562.8	5268.399414
6563.6	4134.842773
6564.4	5514.348145
6565.2	6926.652344
6566	7234.472168
6566.8	7155.539062
6567.6	7461.786133
6568.4	7619.920898
6569.2	7316.486328
6570	6990.75293
6570.8	7288.921387
6571.6	7581.904297
6572.4	7216.06543
6573.2	6692.968262
6574	6770.291992
6574.8	6728.551758
6575.6	6839.21875
6576.4	7184.29541
6577.2	7547.171387
6578	7671.168945
6578.8	7464.645508
6579.6	7183.347656
6580.4	7157.617676
6581.2	6797.27832
6582	6848.650391
6582.8	7394.683105
6583.6	7593.983398
6584.4	7667.394043
6585.2	7618.42334
6586	7522.174316
6586.8	7401.712891
6587.6	7489.369141
6588.4	7812.01709
6589.2	7819.604492
6590	7700.069336
6590.8	7741.995117
6591.6	7608.707031
6592.4	7305.197754
6593.2	6710.95752
6594	6611.026367
6594.8	6555.642578
